1 4 1524751784.6353304
2 4 1524751784.7686305
1 11.1485767721172 0.99 1524751785.735504
2 11.209817922133613 0.99 1524751785.8618662
1 11.592355764643028 0.99 1524751785.991112
2 10.997415577987987 0.99 1524751786.1575751
1 12.027681388012478 0.98 1524751786.2341695
2 11.47090343287383 0.99 1524751786.4364483
1 11.979066885968793 0.98 1524751786.4840274
2 11.245706594075461 0.99 1524751786.6895955
1 12.0335941687852 0.97 1524751786.7347434
1 12.073122061925245 0.96 1524751786.9859302
2 10.703615223436827 0.99 1524751787.0090008
2 11.229929006155452 0.99 1524751787.225136
1 11.879015005899623 0.96 1524751787.2508264
1 11.891550101137815 0.96 1524751787.4964957
2 11.26323894274093 0.99 1524751787.525045
2 11.308809316360964 0.99 1524751787.7535381
1 11.69062236638856 0.96 1524751787.7816625
1 11.594011343259382 0.96 1524751788.0235531
2 11.086053883817156 0.99 1524751788.0631359
1 11.721742666739498 0.96 1524751788.2653396
2 11.160921132491758 0.99 1524751788.2998922
1 11.722833670159492 0.96 1524751788.5184176
2 10.781602894480534 0.99 1524751788.6132965
1 11.774309195157713 0.96 1524751788.7816455
2 10.897684132489722 0.99 1524751788.8508153
1 11.835313833943227 0.96 1524751789.0346715
2 11.621881521533961 0.99 1524751789.0958421
1 11.730508841072233 0.96 1524751789.2881978
2 11.58783153367756 0.99 1524751789.3352787
1 11.75706676348498 0.96 1524751789.5369925
2 12.368379630834575 0.98 1524751789.586895
1 11.841447867157775 0.96 1524751789.7950823
2 11.878282584023257 0.98 1524751789.8603547
1 11.793832815799558 0.96 1524751790.050964
2 10.78260234516599 0.98 1524751790.2092383
1 11.831735647901406 0.96 1524751790.3061728
2 10.285577808107396 0.98 1524751790.5038476
1 11.823991812437763 0.96 1524751790.5500634
2 10.365823779936548 0.98 1524751790.7453563
1 11.81512645597594 0.96 1524751790.8078067
2 10.31445506646197 0.98 1524751791.0252702
1 11.895311392648727 0.96 1524751791.0597951
2 11.275705373428218 0.98 1524751791.2748146
1 11.948274649583324 0.96 1524751791.3036036
2 11.863641775890525 0.98 1524751791.5128908
1 11.889253653379637 0.96 1524751791.565424
2 11.29729655999187 0.98 1524751791.8061802
1 11.938119925443303 0.96 1524751791.829968
2 11.772851980799533 0.98 1524751792.0451698
1 11.907297171479648 0.96 1524751792.0674038
1 11.857439078125054 0.96 1524751792.3213387
2 11.411584890282874 0.98 1524751792.3427396
2 11.404741323375594 0.98 1524751792.5651946
1 11.833848990190502 0.96 1524751792.5863361
2 11.869997061546885 0.98 1524751792.8172374
1 11.75861553057771 0.96 1524751792.8415656
2 11.629739797915779 0.98 1524751793.0805187
1 11.780092276223181 0.96 1524751793.1017983
1 11.78660014977045 0.96 1524751793.344592
2 11.872667349637796 0.98 1524751793.3701885
2 11.7689533601868 0.98 1524751793.5844574
1 11.696260488957648 0.96 1524751793.6066492
1 11.74946025712316 0.96 1524751793.8552787
2 11.181283986533591 0.98 1524751793.8915346
1 11.649850881937622 0.96 1524751794.1160982
2 10.806039845209652 0.98 1524751794.1881032
1 11.658380545039444 0.96 1524751794.3652494
2 10.993440663429805 0.98 1524751794.4264092
1 11.758066214170428 0.96 1524751794.6256068
2 11.041200673284392 0.98 1524751794.6694725
1 11.754304922659516 0.96 1524751794.877556
2 11.724519766354046 0.98 1524751794.9129746
1 11.80374339931411 0.96 1524751795.1322238
2 11.797456778208653 0.98 1524751795.2072787
1 11.788660086297728 0.96 1524751795.3853354
2 11.711755789279488 0.98 1524751795.4515834
1 11.791734732299556 0.96 1524751795.6435745
2 11.655870474233986 0.98 1524751795.6996002
1 11.811098135655937 0.96 1524751795.8914013
2 11.315919912077335 0.98 1524751795.9717739
1 11.746065176550424 0.96 1524751796.1516874
2 11.595918691895754 0.98 1524751796.239853
1 11.81385234708684 0.96 1524751796.4005897
2 11.293314016039139 0.98 1524751796.519831
1 11.900865591877825 0.96 1524751796.6461134
2 11.338724172373722 0.98 1524751796.757728
1 11.894067801337815 0.96 1524751796.903487
2 11.570917165970275 0.98 1524751797.0084476
1 11.96901897335243 0.96 1524751797.154437
2 11.697214163275836 0.98 1524751797.263843
1 11.907266653901466 0.96 1524751797.4090014
2 12.052469290890683 0.97 1524751797.5145254
1 11.874315298859615 0.96 1524751797.6590314
2 11.61542705374849 0.97 1524751797.791675
1 11.886697806206898 0.96 1524751797.906791
2 11.733949698012236 0.97 1524751798.031604
1 11.945535696941498 0.96 1524751798.164306
2 11.484300649695665 0.97 1524751798.3088636
1 11.91433910264511 0.96 1524751798.4137921
2 11.507867849446594 0.97 1524751798.5537784
1 11.91696361436874 0.96 1524751798.667108
2 11.331041372066448 0.97 1524751798.8525324
1 11.942949332190592 0.96 1524751798.9130833
2 10.886682545555164 0.97 1524751799.1349058
1 11.903505362390547 0.96 1524751799.166011
