1 4 1524982609.0542333
2 4 1524982609.6135564
1 10.81218913721329 0.99 1524982610.1882823
1 11.369539296942834 0.99 1524982610.4375017
1 11.857782400879612 0.99 1524982610.6894307
2 10.100252185203601 0.99 1524982610.8233984
1 12.045579947616124 0.97 1524982610.9313366
2 10.81385997461875 0.99 1524982611.0609465
1 11.988489188232437 0.97 1524982611.1886654
2 11.044267689891667 0.99 1524982611.390269
1 11.966829337117879 0.97 1524982611.4375427
2 10.935594593986123 0.99 1524982611.6344795
1 11.95088390251787 0.97 1524982611.687639
2 11.04881480904076 0.99 1524982611.9096313
1 11.951349295585135 0.97 1524982611.935175
2 10.788644825645997 0.99 1524982612.1746402
1 11.991983450934258 0.97 1524982612.1963007
2 11.659929312132167 0.99 1524982612.4200354
1 12.096239127397986 0.95 1524982612.4462159
1 11.985696829828798 0.95 1524982612.6889348
2 11.108964955637168 0.99 1524982612.7142367
1 11.940691031405128 0.95 1524982612.9439764
2 11.457002676011998 0.99 1524982612.9651163
2 11.728967703374046 0.99 1524982613.2030892
1 11.885950125541441 0.95 1524982613.2336879
1 11.563119924744813 0.95 1524982613.4698806
2 10.88961223306063 0.99 1524982613.5190408
1 11.64809612119216 0.95 1524982613.7202446
2 11.493364370415666 0.99 1524982613.7618244
1 11.622377432179412 0.95 1524982613.9779487
2 11.56218150921573 0.99 1524982614.0067203
1 11.630174673404875 0.95 1524982614.2292893
2 11.189752614479058 0.99 1524982614.267713
1 11.81406597013411 0.95 1524982614.4873116
2 11.86560253028871 0.99 1524982614.527553
1 11.74118999343588 0.95 1524982614.744766
2 11.913957632917832 0.99 1524982614.7689667
1 11.707704580775843 0.95 1524982615.0008402
2 11.275453603408216 0.99 1524982615.0579073
1 11.714990652566758 0.95 1524982615.2581303
2 10.533815418433061 0.99 1524982615.4073482
1 11.701120413283109 0.95 1524982615.511144
2 10.15484813257092 0.99 1524982615.7104528
1 11.658861196895808 0.95 1524982615.770827
2 9.688371691272357 0.99 1524982616.0062492
1 11.569627798292101 0.95 1524982616.0366337
2 10.12092784442181 0.99 1524982616.2450538
1 11.47968486599566 0.95 1524982616.3032444
2 11.122133290622628 0.99 1524982616.4864829
1 11.420503652506515 0.95 1524982616.5641708
2 11.25994304429729 0.99 1524982616.776382
1 11.374444997635576 0.95 1524982616.82861
2 11.895608939036006 0.99 1524982617.0148416
1 11.403421438119237 0.95 1524982617.0893815
2 11.547548330477525 0.99 1524982617.2847722
1 11.534296072152065 0.95 1524982617.3453867
2 11.386240041602854 0.99 1524982617.541388
1 11.506135976884766 0.95 1524982617.606583
2 12.009378470497909 0.97 1524982617.7744815
1 11.535989797741163 0.95 1524982617.866819
2 12.004808463165176 0.95 1524982618.0136719
1 11.6339054473376 0.95 1524982618.1224864
2 11.661706961061258 0.95 1524982618.3145971
1 11.645608938570343 0.95 1524982618.36947
2 11.373148000562846 0.95 1524982618.596563
1 11.693445242370384 0.95 1524982618.6259878
1 11.813875235270478 0.95 1524982618.8898323
2 10.703775440722287 0.95 1524982618.9213037
1 11.630151785221237 0.95 1524982619.1516004
2 10.328165088460153 0.95 1524982619.1756377
1 11.620286978073958 0.95 1524982619.4034328
2 10.784128224075078 0.95 1524982619.4288502
1 11.647386587499428 0.95 1524982619.6610715
2 10.551370655282161 0.95 1524982619.733259
1 11.673494375634005 0.95 1524982619.9110088
2 10.538896595200336 0.95 1524982620.0345125
1 11.847818411603239 0.95 1524982620.1695065
2 10.896425282389714 0.95 1524982620.276491
1 11.791460074095916 0.95 1524982620.422321
2 10.593477283778554 0.95 1524982620.5595365
1 11.817422903734123 0.95 1524982620.679522
2 10.902429615896997 0.95 1524982620.833341
1 11.702348745804937 0.95 1524982620.940107
2 11.538522756730247 0.95 1524982621.0745401
1 11.554170644942987 0.95 1524982621.2094288
2 10.600641285256753 0.95 1524982621.4094682
1 11.57193187544483 0.95 1524982621.4574256
2 10.902261769217004 0.95 1524982621.6615577
1 11.569284475537554 0.95 1524982621.7109582
2 10.941614186282488 0.95 1524982621.9314682
1 11.641328848230335 0.95 1524982621.968949
2 10.781770741160534 0.95 1524982622.1891298
1 11.773920096035894 0.95 1524982622.225218
1 11.79089549889955 0.95 1524982622.4754224
2 11.190637624246321 0.95 1524982622.5044074
1 11.72143749095767 0.95 1524982622.7364476
2 10.99244121274435 0.95 1524982622.761149
1 11.705865896690392 0.95 1524982622.9904802
2 10.648241077825878 0.95 1524982623.0565639
1 11.70189098213221 0.95 1524982623.2477252
2 10.559907947778528 0.95 1524982623.3245313
1 11.691499746761282 0.95 1524982623.503702
2 10.767610584884153 0.95 1524982623.5941753
1 11.680330313146733 0.95 1524982623.762633
2 10.643434559262237 0.95 1524982623.8806312
1 11.695756948917653 0.95 1524982624.0192971
2 10.974077260073424 0.95 1524982624.1510856
1 11.765253103832258 0.95 1524982624.271053
2 10.839624439998763 0.95 1524982624.4311473
1 11.825838125917764 0.95 1524982624.5199623
2 10.726427113127757 0.95 1524982624.7134457
1 11.861276663581434 0.95 1524982624.7730281
2 10.548578296878526 0.95 1524982625.017591
1 11.840143240690502 0.95 1524982625.0432603
2 10.842645680238762 0.95 1524982625.2583797
1 11.811639822668663 0.95 1524982625.282177
1 11.837045706505037 0.95 1524982625.5314815
2 10.720254932940481 0.95 1524982625.553278
1 11.725664175535861 0.95 1524982625.8012192
2 10.748918568247786 0.95 1524982625.8331954
1 11.728982962163132 0.95 1524982626.0586407
2 10.806985890133289 0.95 1524982626.1285393
1 11.630746877995781 0.95 1524982626.3150597
2 10.20498088412915 0.95 1524982626.433405
1 11.5899677641503 0.95 1524982626.5664606
2 10.143800769269093 0.95 1524982626.733362
1 11.766405142408624 0.95 1524982626.821816
2 10.001245532187156 0.95 1524982627.029625
1 11.725870169188582 0.95 1524982627.0764854
2 10.41613200756933 0.95 1524982627.2806265
1 11.731035269295871 0.95 1524982627.3390837
2 10.734163319196863 0.95 1524982627.5524762
1 11.698480642770383 0.95 1524982627.59018
1 11.731821096934054 0.95 1524982627.8438897
2 10.707895313776838 0.95 1524982627.8652573
1 11.642976797452151 0.95 1524982628.111613
2 11.026033436928003 0.95 1524982628.1349442
1 11.586877859359383 0.95 1524982628.3757408
2 10.659433399624067 0.95 1524982628.4064345
1 11.502527273264766 0.95 1524982628.6377661
2 10.57882121685673 0.95 1524982628.6848352
1 11.351228750033732 0.95 1524982628.8997493
2 11.104089772522624 0.95 1524982628.9335594
1 11.50041393097567 0.95 1524982629.150349
2 10.90994456952428 0.95 1524982629.2163627
1 11.612741506868495 0.95 1524982629.4076397
2 11.279802358299133 0.95 1524982629.4686937
1 11.66607097474127 0.95 1524982629.6642475
2 11.0265522357571 0.95 1524982629.7736518
1 11.730798758064958 0.95 1524982629.923666
2 10.699182545205916 0.95 1524982630.0562282
1 11.687089956714013 0.95 1524982630.1805449
2 10.485338245491205 0.95 1524982630.3615696
1 11.732736624279504 0.95 1524982630.4283044
2 9.925073657045274 0.955 1524982630.6802146
1 11.758203543272248 0.95 1524982630.7048643
1 11.680521048010363 0.95 1524982630.9466937
2 9.971231494045325 0.9595 1524982630.976952
1 11.724832571530401 0.95 1524982631.2040284
2 10.298578296412867 0.9595 1524982631.225523
1 11.67234996645218 0.95 1524982631.4594073
2 10.472200428083909 0.9595 1524982631.506735
1 11.66880229798854 0.95 1524982631.7145452
2 11.029550587813473 0.9595 1524982631.7660024
1 11.742418325957697 0.95 1524982631.973378
2 11.174081838082673 0.9595 1524982632.0513396
1 11.727167166261314 0.95 1524982632.2258599
2 10.614084278445844 0.9595 1524982632.351771
1 11.748041189737702 0.95 1524982632.4809318
2 10.383302722840199 0.9595 1524982632.6632843
1 11.718507803452217 0.95 1524982632.7389011
2 10.61332133899131 0.9595 1524982632.8967752
1 11.698473013375834 0.95 1524982632.998434
2 10.626627003078585 0.9595 1524982633.1809921
1 11.711526907443126 0.95 1524982633.2478807
2 10.832643543989667 0.9595 1524982633.4605324
1 11.719308889879498 0.95 1524982633.5089827
2 11.465715444582923 0.9595 1524982633.71067
1 11.73355296949587 0.95 1524982633.7614574
2 10.889429127591526 0.9595 1524982633.9996421
1 11.739892996363151 0.95 1524982634.0244145
1 11.765535391430442 0.95 1524982634.271609
2 10.813928639169648 0.9595 1524982634.2964976
1 11.615076101599403 0.95 1524982634.5388691
2 10.653574024613162 0.9595 1524982634.5851316
1 11.592546499506653 0.95 1524982634.7970757
2 10.71767619758412 0.9595 1524982634.8339725
1 11.52877239050115 0.95 1524982635.0626304
2 10.452371631660267 0.9595 1524982635.1466148
